Size;Demand Seed;Customer Selection Seed;Instance Type;ALNS Obj;ALNS Time;Each result is an average value over 10 runs
30;1;1;Clustered;12042.22;7.166803646;
30;1;2;Clustered;11809.48;7.225727892;
30;1;3;Clustered;11693.26;7.154546046;
30;2;1;Clustered;11297.2;7.801979303;
30;2;2;Clustered;11134.07;7.447428465;
30;2;3;Clustered;10894.18;6.950712395;
30;3;1;Clustered;10204.57;7.648290133;
30;3;2;Clustered;9779.49;7.658918166;
30;3;3;Clustered;10245.8;7.652393866;
30;1;1;Random;11347.6;7.430789399;
30;1;2;Random;11327.24;7.40501008;
30;1;3;Random;11331.91;7.352469015;
30;2;1;Random;11127.93;7.242806125;
30;2;2;Random;11167.7;8.251124692;
30;2;3;Random;10517.71;6.799708986;
30;3;1;Random;10281.59;8.010912871;
30;3;2;Random;10319.67;8.123581553;
30;3;3;Random;10309.37;7.662249851;
30;1;1;Random Clustered;12880.22;9.161333323;
30;1;2;Random Clustered;12053.16;7.697798204;
30;1;3;Random Clustered;11901.48;8.017138696;
30;2;1;Random Clustered;12008.27;7.886428356;
30;2;2;Random Clustered;12093.72;8.4571733;
30;2;3;Random Clustered;11339.26;7.173024225;
30;3;1;Random Clustered;10961.11;8.304056311;
30;3;2;Random Clustered;10358.28;7.997326136;
30;3;3;Random Clustered;9936.64;9.004503727;
45;1;1;Clustered;16388.06;11.38864765;
45;1;2;Clustered;15760.84;11.10568175;
45;1;3;Clustered;15763.08;10.5791806;
45;2;1;Clustered;16337.81;10.26598692;
45;2;2;Clustered;16688.59;10.86146069;
45;2;3;Clustered;16332.94;10.61228366;
45;3;1;Clustered;16511.59;10.56016479;
45;3;2;Clustered;16118;10.86622179;
45;3;3;Clustered;16311.22;10.96505384;
45;1;1;Random;15380.37;10.5895793;
45;1;2;Random;15594.36;10.90093904;
45;1;3;Random;15292.89;10.70181868;
45;2;1;Random;16326.64;10.05618689;
45;2;2;Random;16280.37;10.36528313;
45;2;3;Random;16305.44;10.35364501;
45;3;1;Random;16529.16;11.51785517;
45;3;2;Random;16487.12;11.06780484;
45;3;3;Random;16588.29;11.42992225;
45;1;1;Random Clustered;16736.15;12.57486031;
45;1;2;Random Clustered;16100.08;11.5780021;
45;1;3;Random Clustered;16227.64;11.66229334;
45;2;1;Random Clustered;17579.57;11.04913807;
45;2;2;Random Clustered;17477.92;10.88091621;
45;2;3;Random Clustered;16926.79;10.38581047;
45;3;1;Random Clustered;17162.07;11.48141601;
45;3;2;Random Clustered;17030.64;11.09287477;
45;3;3;Random Clustered;16322.75;10.8106204;
60;1;1;Clustered;21418.04;14.11209257;
60;1;2;Clustered;21153.28;14.81840861;
60;1;3;Clustered;21371.69;14.01672697;
60;2;1;Clustered;22808.21;13.50760355;
60;2;2;Clustered;22708.56;13.74068043;
60;2;3;Clustered;22616.42;14.01120241;
60;3;1;Clustered;20756.43;14.32890894;
60;3;2;Clustered;20123.83;13.92399244;
60;3;3;Clustered;20065.17;13.52579989;
60;1;1;Random;20877.41;14.22940075;
60;1;2;Random;21244.07;14.84642923;
60;1;3;Random;21105.54;14.64329658;
60;2;1;Random;22523.52;14.22063534;
60;2;2;Random;22473.37;13.72721627;
60;2;3;Random;22426.27;13.61543424;
60;3;1;Random;20248.08;14.60363235;
60;3;2;Random;20523.93;14.05636728;
60;3;3;Random;20534.62;14.67161591;
60;1;1;Random Clustered;22494.79;15.30282872;
60;1;2;Random Clustered;22123.18;14.57336195;
60;1;3;Random Clustered;22727.59;15.63952465;
60;2;1;Random Clustered;23597.92;14.02906616;
60;2;2;Random Clustered;23838.17;13.96135213;
60;2;3;Random Clustered;22899.7;13.09404972;
60;3;1;Random Clustered;21643.28;15.20610304;
60;3;2;Random Clustered;21188.21;14.63162925;
60;3;3;Random Clustered;20969.25;14.34482176;
100;1;1;Clustered;35636.99;24.80793166;
100;2;1;Clustered;36379.49;24.28024862;
100;3;1;Clustered;35863;25.89112229;
100;1;1;Random;35331.17;25.79161727;
100;2;1;Random;36616.89;24.88506365;
100;3;1;Random;35524.7;26.42698967;
100;1;1;Random Clustered;37153.71;25.19395549;
100;2;1;Random Clustered;38234.73;25.26371512;
100;3;1;Random Clustered;37032.82;26.25855005;
