Instance;ALNS Obj;ALNS Time;Each result is an average value over 10 runs
X-n101-k25;35837.99;25.1727128;
X-n106-k14;38658.78;30.05919225;
X-n110-k13;40690.57;28.44044712;
X-n115-k10;41695.597;29.58464465;
X-n120-k6;42490.56;32.13358259;
X-n125-k30;46052.27;32.22110116;
X-n129-k18;45690.267;34.29239321;
X-n134-k13;46372.344;38.90211751;
X-n139-k10;52625.56;38.50435011;
X-n143-k7;52626.15;39.57950487;
X-n148-k46;54320.55996;41.89325843;
X-n153-k22;56949;44.90756829;
X-n157-k13;59076.89;45.92118993;
X-n162-k11;61885.74;47.15630636;
X-n167-k10;61544.5;48.50082927;
X-n172-k51;65604.18;48.79476192;
X-n176-k26;65325.77;55.29277;
X-n181-k23;67628.38997;71.93039165;
X-n186-k15;67347.836;58.49888949;
X-n190-k8;70766.668;69.69358881;
X-n195-k51;71582.77;57.96251962;
X-n200-k36;73899.79394;69.52167516;
X-n204-k19;73909.75;63.8763315;
X-n209-k16;75538.53;80.10227828;
X-n214-k11;76025.301;74.20151231;
X-n219-k73;79372.495;79.13217275;
X-n223-k34;79643.336;95.44467576;
X-n228-k23;83989.924;76.14800894;
X-n233-k16;84759.227;77.03083363;
X-n237-k14;83548.019;89.02569151;
X-n242-k48;85737.066;85.63190875;
X-n247-k47;88252.734;93.97627807;
X-n251-k28;89515.545;93.41664634;
X-n256-k16;93317.826;90.46925778;
X-n261-k13;89695.135;124.5628258;
X-n266-k58;90049.04;116.1508959;
X-n270-k35;95653.28;101.7616736;
X-n275-k28;96889.91551;123.0147215;
X-n280-k17;98848.72;120.1218099;
X-n284-k15;99698.904;127.3220621;
X-n289-k60;99621.96;122.8356369;
X-n294-k50;105384.24;115.1451537;
X-n298-k31;104409.11;127.7705775;
X-n303-k21;108515.576;123.613961;
X-n308-k13;107039.443;143.5773939;
X-n313-k71;111670.16;152.7518854;
X-n317-k53;111845.693;162.5177552;
X-n322-k28;116005.31;138.0639135;
X-n327-k20;113422.243;187.6170553;
X-n331-k15;117932.332;189.3581314;
X-n336-k84;118942.9878;207.289166;
X-n344-k43;124987.23;150.488938;
X-n351-k40;124293.1159;209.7124551;
X-n359-k29;127017.664;216.1213256;
X-n367-k17;131642.897;241.2269671;
X-n376-k94;133382.986;207.5211672;
X-n384-k52;136105.81;202.3882986;
X-n393-k38;141081.15;198.7855035;
X-n401-k29;144722.092;350.1965738;
X-n411-k19;142080.986;252.5774461;
X-n420-k130;149810.04;233.2084437;
X-n429-k61;151254.172;269.5847529;
X-n439-k37;157779.157;301.5903987;
X-n449-k29;158123.976;368.0207834;
X-n459-k26;159494.279;319.8647272;
X-n469-k138;163697.366;369.9881225;
X-n480-k70;170237.509;415.6436213;
X-n491-k59;169331.709;372.0765341;
X-n502-k39;181480.026;532.9212856;
X-n513-k21;177318.432;411.0730458;
X-n524-k137;176936.248;531.3092615;
X-n536-k96;188230.871;658.3165997;
X-n548-k50;186828.237;537.4654891;
X-n561-k42;193805.501;505.6642455;
X-n573-k30;200736.611;858.7219297;
X-n586-k159;198184.973;525.9238596;
X-n599-k92;204244.184;537.856813;
X-n613-k62;213233.087;585.4414838;
X-n627-k43;210922.351;656.4730529;
X-n641-k35;219903.023;695.6756672;
X-n655-k131;225676.511;1110.865096;
X-n670-k126;225701.847;869.2060441;
X-n685-k75;235219.64;725.3555636;
X-n701-k44;238963.047;1077.75399;
X-n716-k35;241759.323;1050.969321;
X-n733-k159;250468.253;840.1666257;
X-n749-k98;251426.698;987.108433;
X-n766-k71;257823.116;1752.369697;
X-n783-k48;262123.976;1046.899103;
X-n801-k40;269717.04;1464.781864;
X-n819-k171;282422.444;2063.983032;
X-n837-k142;283417.368;1958.39301;
X-n856-k95;295256.355;1406.979863;
X-n876-k59;302306.47;1723.520934;
X-n895-k37;297803.362;2139.112528;
X-n916-k207;307163.465;2320.921479;
X-n936-k151;317831.542;1786.864396;
X-n957-k87;321076.51;2241.24415;
X-n979-k58;337286.722;1336.985802;
X-n1001-k43;339288.71;2255.955289;
